mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15852,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 36, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 87, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",32,41,272,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15853,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 23, 'TODOS': 6, 'VAMOS': 51, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 85, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",48,35,296,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15854,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 4, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 93, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",41,48,271,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15855,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 69, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",16,43,207,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15856,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 28, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 59, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",20,44,205,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15857,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 43, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",9,16,137,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15858,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 34, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",1,15,85,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2317,presidente
15859,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 3, 'PPN': 80, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 0, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 2}",35,43,259,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2318,presidente
15860,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 0, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 43, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 123, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",39,29,298,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2318,presidente
15861,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 115, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",32,32,267,0,Algún campo sin dato,13.Huehuetenango,15.Todos Santos Cuchumatán,2318,presidente
