mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15910,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 119, 'VAMOS': 107, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 0, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",28,8,296,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2335,presidente
15911,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 113, 'VAMOS': 132, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",31,7,318,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2335,presidente
15912,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 116, 'VAMOS': 141, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",42,14,335,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2335,presidente
15913,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 1, 'CABAL': 0, 'TODOS': 115, 'VAMOS': 153, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",15,11,319,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2335,presidente
15914,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 0, 'TODOS': 127, 'VAMOS': 140, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",32,13,344,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2336,presidente
15915,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 0, 'TODOS': 104, 'VAMOS': 154, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",28,14,333,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2336,presidente
15916,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 144, 'VAMOS': 114, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",21,11,324,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2336,presidente
15917,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 142, 'VAMOS': 111, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",30,14,327,4,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2337,presidente
15918,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 133, 'VAMOS': 101, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",28,19,321,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2337,presidente
15919,,"{'UNE': 5, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 92, 'VAMOS': 100, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",13,14,234,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2337,presidente
15920,,"{'UNE': 5, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 0, 'TODOS': 112, 'VAMOS': 81, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",33,21,264,0,Algún campo sin dato,13.Huehuetenango,16.San Juan Atitán,2338,presidente
