mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15950,,"{'UNE': 74, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 34, 'TODOS': 3, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 4}",29,46,261,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15951,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",51,53,253,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15952,,"{'UNE': 78, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",34,48,268,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15953,,"{'UNE': 91, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",30,56,294,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15954,,"{'UNE': 82, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 27, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",37,63,303,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15955,,"{'UNE': 84, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 33, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 12}",17,56,269,1,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15956,,"{'UNE': 82, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",33,53,268,2,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15957,,"{'UNE': 67, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",43,77,266,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2344,presidente
15958,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",27,42,230,3,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2345,presidente
15959,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",46,39,239,0,Algún campo sin dato,13.Huehuetenango,17.Santa Eulalia,2345,presidente
