mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16077,,"{'UNE': 83, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 30, 'TODOS': 6, 'VAMOS': 37, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",33,27,263,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2366,presidente
16078,,"{'UNE': 109, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 41, 'TODOS': 3, 'VAMOS': 45, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",37,33,296,0,,13.Huehuetenango,19.Colotenango,2366,presidente
16079,,"{'UNE': 110, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 31, 'TODOS': 6, 'VAMOS': 36, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",19,37,275,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2366,presidente
16080,,"{'UNE': 130, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 4, 'VAMOS': 28, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 17, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",23,29,294,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2366,presidente
16081,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 23, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 38, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",28,56,278,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2366,presidente
16082,,"{'UNE': 82, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 18, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",17,43,220,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2366,presidente
16083,,"{'UNE': 86, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 29, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 16, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",31,36,243,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2367,presidente
16084,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 20, 'TODOS': 5, 'VAMOS': 29, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 15, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",25,28,210,1,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2367,presidente
16085,,"{'UNE': 71, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 18, 'TODOS': 6, 'VAMOS': 16, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",9,27,184,12,Sumas Asentadas sin cuadrar,13.Huehuetenango,19.Colotenango,2368,presidente
16086,,"{'UNE': 85, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 16, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",10,28,235,0,Algún campo sin dato,13.Huehuetenango,19.Colotenango,2368,presidente
