mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14982,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",13,39,209,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2145,presidente
14983,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",7,39,207,1,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2145,presidente
14984,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",6,31,205,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2145,presidente
14985,,"{'UNE': 25, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 14, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 4, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",8,39,219,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2145,presidente
14986,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 30, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 38}",20,47,241,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2146,presidente
14987,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 12, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",10,51,224,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2146,presidente
14988,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 17, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 44}",9,49,265,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2146,presidente
14989,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 34}",6,37,209,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2146,presidente
14990,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 30}",7,29,187,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2147,presidente
14991,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 24, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 30}",6,37,224,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2147,presidente
14992,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 29}",7,47,219,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2147,presidente
14993,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 32}",6,40,212,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2147,presidente
14994,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 40}",3,37,246,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2147,presidente
14995,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Acta ilegible,13.Huehuetenango,2.Chiantla,2148,presidente
14996,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 2, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 25}",7,34,195,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2148,presidente
14997,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 25}",5,35,184,6,Sumas Asentadas sin cuadrar,13.Huehuetenango,2.Chiantla,2148,presidente
14998,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",5,38,175,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2148,presidente
14999,,"{'UNE': 4, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 74, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",5,25,180,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2148,presidente
15000,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 92, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 17}",2,18,189,2,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2148,presidente
15001,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",2,16,129,8,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2149,presidente
15002,,"{'UNE': 12, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",2,18,132,9,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2149,presidente
15003,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 7, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",10,33,162,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2150,presidente
15004,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",13,31,167,0,Algún campo sin dato,13.Huehuetenango,2.Chiantla,2150,presidente
