mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16191,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 56, 'TODOS': 0, 'VAMOS': 135, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",64,21,320,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16192,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 86, 'TODOS': 1, 'VAMOS': 114, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",42,20,324,3,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16193,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 71, 'TODOS': 0, 'VAMOS': 134, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",45,32,323,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16194,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 85, 'TODOS': 0, 'VAMOS': 135, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",48,30,333,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16195,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 74, 'TODOS': 0, 'VAMOS': 115, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",46,40,322,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16196,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 62, 'TODOS': 1, 'VAMOS': 88, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",31,28,255,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16197,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 100, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",53,26,281,0,,13.Huehuetenango,21.Tectitán,2393,presidente
16198,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 94, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",27,28,251,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16199,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 58, 'TODOS': 0, 'VAMOS': 129, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",25,21,275,1,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
16200,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 46, 'TODOS': 0, 'VAMOS': 119, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",19,18,235,0,Algún campo sin dato,13.Huehuetenango,21.Tectitán,2393,presidente
