mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16210,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 92, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 39, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 0}",19,32,286,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2396,presidente
16211,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 71, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 45, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",36,45,299,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2396,presidente
16212,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 72, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 37, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",20,55,293,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2396,presidente
16213,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 63, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 47, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",29,49,303,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2396,presidente
16214,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 77, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 22, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",26,63,286,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2396,presidente
16215,,"{'UNE': 63, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 78, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 39, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",23,58,313,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2397,presidente
16216,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 37, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",10,51,222,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2397,presidente
16217,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 64, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 34, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",14,37,237,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2397,presidente
16218,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 38, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",23,43,235,0,Algún campo sin dato,13.Huehuetenango,22.Concepción Huista,2397,presidente
16219,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 64, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 27, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",26,44,254,0,,13.Huehuetenango,22.Concepción Huista,2397,presidente
