mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16243,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 10, 'TODOS': 25, 'VAMOS': 14, 'PHG': 17, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 24, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",30,55,216,0,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2406,presidente
16244,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 2, 'TODOS': 29, 'VAMOS': 19, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 25, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",53,35,207,15,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2406,presidente
16245,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 30, 'VAMOS': 17, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 33, 'CREO': 3, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",66,56,244,1,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2406,presidente
16246,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 6, 'TODOS': 41, 'VAMOS': 10, 'PHG': 13, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 33, 'CREO': 2, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",51,43,237,0,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2406,presidente
16247,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 30, 'VAMOS': 20, 'PHG': 15, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 23, 'CREO': 0, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",38,41,222,17,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2406,presidente
16248,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 38, 'VAMOS': 29, 'PHG': 6, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",45,48,206,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,23.San Juan Ixcoy,2407,presidente
16249,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 6, 'TODOS': 35, 'VAMOS': 5, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",42,42,227,9,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2407,presidente
16250,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 11, 'TODOS': 20, 'VAMOS': 5, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",22,52,158,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,23.San Juan Ixcoy,2407,presidente
16251,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 7, 'TODOS': 24, 'VAMOS': 10, 'PHG': 14, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",48,35,192,5,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2407,presidente
16252,,"{'UNE': 7, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 27, 'VAMOS': 9, 'PHG': 12, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 23, 'CREO': 0, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",32,52,198,6,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2407,presidente
16253,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 4, 'TODOS': 22, 'VAMOS': 13, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 26, 'CREO': 1, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",34,35,175,2,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2408,presidente
16254,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 15, 'VAMOS': 14, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",32,53,170,230,Sumas Asentadas sin cuadrar,13.Huehuetenango,23.San Juan Ixcoy,2408,presidente
16255,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 32, 'VAMOS': 12, 'PHG': 8, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",29,45,184,5,Algún campo sin dato,13.Huehuetenango,23.San Juan Ixcoy,2408,presidente
