mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16282,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 12, 'TODOS': 6, 'VAMOS': 18, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 9}",32,64,262,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16283,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 1, 'TODOS': 5, 'VAMOS': 17, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",35,55,260,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16284,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 26, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",30,71,270,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16285,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 6, 'TODOS': 7, 'VAMOS': 20, 'PHG': 12, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 8, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,71,280,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16286,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 7, 'TODOS': 13, 'VAMOS': 25, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",28,55,278,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16287,,"{'UNE': 93, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 8, 'VAMOS': 21, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",37,49,283,1,Sumas Asentadas sin cuadrar,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16288,,"{'UNE': 74, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 5, 'VAMOS': 18, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",30,64,251,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16289,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 4, 'VAMOS': 20, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",19,55,229,1,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16290,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 9, 'VAMOS': 11, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 2, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",13,58,245,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,24.San Antonio Huista,2417,presidente
16291,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 2, 'TODOS': 6, 'VAMOS': 20, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",29,45,246,0,Algún campo sin dato,13.Huehuetenango,24.San Antonio Huista,2417,presidente
