mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16583,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 138, 'TODOS': 1, 'VAMOS': 71, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",29,20,314,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2470,presidente
16584,,"{'UNE': 10, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 145, 'TODOS': 1, 'VAMOS': 89, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",30,20,317,11,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2470,presidente
16585,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 166, 'TODOS': 1, 'VAMOS': 81, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",27,35,338,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2470,presidente
16586,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 178, 'TODOS': 0, 'VAMOS': 112, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",33,16,374,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2471,presidente
16587,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 174, 'TODOS': 0, 'VAMOS': 82, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",44,20,353,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2471,presidente
16588,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 153, 'TODOS': 1, 'VAMOS': 94, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",44,41,367,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2471,presidente
16589,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 128, 'TODOS': 1, 'VAMOS': 89, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",52,44,351,1,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2471,presidente
16590,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 166, 'TODOS': 0, 'VAMOS': 93, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",20,19,340,1,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2472,presidente
16591,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 167, 'TODOS': 1, 'VAMOS': 90, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",25,30,340,1,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2472,presidente
16592,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 133, 'TODOS': 0, 'VAMOS': 58, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",22,33,279,0,Algún campo sin dato,13.Huehuetenango,28.San Rafael Petzal,2472,presidente
