mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16603,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 103, 'TODOS': 29, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",34,27,262,1,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2478,presidente
16604,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 107, 'TODOS': 35, 'VAMOS': 27, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",35,35,298,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2478,presidente
16605,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 90, 'TODOS': 43, 'VAMOS': 33, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",50,28,290,1,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2478,presidente
16606,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 118, 'TODOS': 25, 'VAMOS': 33, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",37,27,310,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2479,presidente
16607,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 117, 'TODOS': 45, 'VAMOS': 30, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",36,42,331,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2479,presidente
16608,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 105, 'TODOS': 29, 'VAMOS': 20, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",49,24,296,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2479,presidente
16609,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 98, 'TODOS': 34, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",42,25,270,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2480,presidente
16610,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 88, 'TODOS': 29, 'VAMOS': 17, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",33,26,225,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2480,presidente
16611,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 93, 'TODOS': 26, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",30,37,243,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2480,presidente
16612,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 64, 'TODOS': 39, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",21,24,207,3,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2480,presidente
16613,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 105, 'TODOS': 23, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",17,21,230,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2481,presidente
16614,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 93, 'TODOS': 35, 'VAMOS': 18, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",13,28,222,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2481,presidente
16615,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 84, 'TODOS': 15, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",15,23,191,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2481,presidente
16616,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 55, 'TODOS': 15, 'VAMOS': 13, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",23,19,148,0,Algún campo sin dato,13.Huehuetenango,29.San Gaspar Ixchil,2481,presidente
