mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15108,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",32,70,261,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2173,presidente
15109,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 48, 'TODOS': 2, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 0, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",35,67,281,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2173,presidente
15110,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 42, 'TODOS': 5, 'VAMOS': 32, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,71,273,0,,13.Huehuetenango,3.Malacatancito,2173,presidente
15111,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 26, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",38,61,290,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2173,presidente
15112,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 28, 'TODOS': 5, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",28,59,261,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2173,presidente
15113,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 31, 'TODOS': 4, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",28,58,284,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2173,presidente
15114,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 45, 'TODOS': 2, 'VAMOS': 27, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",26,47,250,1,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2174,presidente
15115,,"{'UNE': 20, 'AZUL': 11, 'VALOR UNIONISTA': 16, 'CABAL': 31, 'TODOS': 5, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",33,46,276,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2174,presidente
15116,,"{'UNE': 17, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 34, 'TODOS': 7, 'VAMOS': 45, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",46,63,287,0,,13.Huehuetenango,3.Malacatancito,2174,presidente
15117,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 28, 'TODOS': 5, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",25,54,264,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2174,presidente
15118,,"{'UNE': 19, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",13,53,227,1,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2175,presidente
15119,,"{'UNE': 16, 'AZUL': 6, 'VALOR UNIONISTA': 15, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 18, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",24,39,236,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2175,presidente
15120,,"{'UNE': 18, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 39, 'TODOS': 4, 'VAMOS': 18, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",7,59,241,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2175,presidente
15121,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 37, 'TODOS': 4, 'VAMOS': 22, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",18,49,236,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2175,presidente
15122,,"{'UNE': 17, 'AZUL': 7, 'VALOR UNIONISTA': 3, 'CABAL': 27, 'TODOS': 3, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",15,49,230,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2176,presidente
15123,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 23, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",9,33,224,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2176,presidente
15124,,"{'UNE': 22, 'AZUL': 6, 'VALOR UNIONISTA': 4, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",7,47,213,0,Algún campo sin dato,13.Huehuetenango,3.Malacatancito,2176,presidente
