mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16617,,"{'UNE': 85, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 50, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 34, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",23,67,298,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2482,presidente
16618,,"{'UNE': 96, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 4, 'VAMOS': 81, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 28, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",25,36,301,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2482,presidente
16619,,"{'UNE': 109, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 0, 'TODOS': 2, 'VAMOS': 61, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 29, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",24,43,303,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2482,presidente
16620,,"{'UNE': 74, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 6, 'VAMOS': 86, 'PHG': 3, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 35, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",39,46,325,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2482,presidente
16621,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 4, 'VAMOS': 101, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 33, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",39,54,332,4,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16622,,"{'UNE': 94, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 4, 'VAMOS': 75, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 19, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",46,49,324,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16623,,"{'UNE': 91, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 3, 'VAMOS': 91, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 37, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",50,46,357,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16624,,"{'UNE': 95, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 67, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 0, 'BIEN': 37, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",45,51,342,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16625,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 5, 'VAMOS': 56, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 24, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",15,57,261,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16626,,"{'UNE': 82, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 62, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 16, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",26,48,279,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2483,presidente
16627,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 3, 'VAMOS': 68, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 28, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",23,63,287,0,Algún campo sin dato,13.Huehuetenango,30.Santiago Chimaltenango,2484,presidente
