mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16637,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 43, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",23,60,272,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16638,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 48, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",51,54,281,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16639,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 10, 'TODOS': 6, 'VAMOS': 46, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",30,71,306,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16640,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 13, 'TODOS': 6, 'VAMOS': 50, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",27,63,286,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16641,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",15,62,248,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16642,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 36, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",22,47,218,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16643,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 8, 'TODOS': 8, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 66, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",16,51,275,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16644,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 2, 'TODOS': 3, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",25,43,217,11,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2487,presidente
16645,,"{'UNE': 94, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 47, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",40,48,277,0,Algún campo sin dato,13.Huehuetenango,31.Santa Ana Huista,2488,presidente
16646,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 21, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",18,21,141,129,,13.Huehuetenango,31.Santa Ana Huista,2488,presidente
