mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16655,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",46,33,181,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16656,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 1, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",63,35,173,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16657,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 1, 'CABAL': 48, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",60,25,221,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16658,,"{'UNE': 30, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",72,43,240,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16659,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 16, 'TODOS': 8, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",63,32,193,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16660,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",39,30,178,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16661,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",37,26,166,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2490,presidente
16662,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",31,28,168,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2491,presidente
16663,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",36,22,163,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2491,presidente
16664,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",13,12,88,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2491,presidente
16665,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",29,9,83,0,Algún campo sin dato,13.Huehuetenango,32.Unión Cantinil,2491,presidente
