mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15140,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",17,46,200,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2181,presidente
15141,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 15, 'PHG': 7, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",25,47,191,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2181,presidente
15142,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 31, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 20, 'CREO': 0, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",13,31,187,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2181,presidente
15143,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 56, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",20,28,199,48,Sumas Asentadas sin cuadrar,13.Huehuetenango,4.Cuilco,2181,presidente
15144,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 14, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 26, 'CREO': 0, 'BIEN': 3, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",19,43,182,1,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2181,presidente
15145,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 13, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 2, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",18,35,152,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2181,presidente
15146,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Suma Excede Padrón,13.Huehuetenango,4.Cuilco,2181,presidente
15147,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 10, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",9,22,132,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2182,presidente
15148,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 16, 'PHG': 6, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",9,34,170,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2182,presidente
15149,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 18, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",19,38,201,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2182,presidente
15150,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 20, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",5,23,164,0,Algún campo sin dato,13.Huehuetenango,4.Cuilco,2182,presidente
