mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15288,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 50, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",42,45,240,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15289,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 37, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 58, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",42,39,234,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15290,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 41, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 47, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",42,29,243,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15291,,"{'UNE': 53, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 4, 'TODOS': 4, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 46, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",39,42,263,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15292,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 34, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 54, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",43,37,272,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15293,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 40, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 48, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",30,38,264,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15294,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 35, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 68, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",34,39,291,0,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15295,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 55, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 73, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",33,33,286,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15296,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 41, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 33, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 13}",30,55,296,16,Algún campo sin dato,13.Huehuetenango,6.San Pedro Necta,2218,presidente
15297,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 46, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",34,50,288,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,6.San Pedro Necta,2218,presidente
