mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15346,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 77, 'TODOS': 1, 'VAMOS': 25, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",32,0,252,46,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15347,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 64, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",24,42,302,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15348,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 80, 'TODOS': 0, 'VAMOS': 23, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",29,46,314,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15349,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 58, 'TODOS': 0, 'VAMOS': 20, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 62, 'FCN-NACION': 0, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",11,39,293,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15350,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 14, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 30}",4,46,276,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15351,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 51, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",15,35,235,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15352,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 49, 'TODOS': 2, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 56, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 19}",15,50,275,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15353,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 88, 'TODOS': 1, 'VAMOS': 26, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",24,36,293,1,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2233,presidente
15354,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 74, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",23,34,252,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,7.Jacaltenango,2234,presidente
15355,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 57, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",26,24,214,0,Algún campo sin dato,13.Huehuetenango,7.Jacaltenango,2234,presidente
