mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15416,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 26, 'TODOS': 8, 'VAMOS': 4, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 10}",47,45,209,0,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15417,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 3, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",27,39,183,217,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15418,,"{'UNE': 27, 'AZUL': 10, 'VALOR UNIONISTA': 4, 'CABAL': 17, 'TODOS': 6, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 44, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",23,18,181,1,,13.Huehuetenango,8.Soloma,2244,presidente
15419,,"{'UNE': 34, 'AZUL': 6, 'VALOR UNIONISTA': 3, 'CABAL': 28, 'TODOS': 3, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",34,48,211,0,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15420,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 5, 'CABAL': 34, 'TODOS': 3, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",57,35,205,0,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15421,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 23, 'TODOS': 9, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",49,41,195,0,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15422,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 6, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",29,48,195,0,Algún campo sin dato,13.Huehuetenango,8.Soloma,2244,presidente
15423,,"{'UNE': 28, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 4, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",33,36,182,0,,13.Huehuetenango,8.Soloma,2244,presidente
15424,,"{'UNE': 15, 'AZUL': 6, 'VALOR UNIONISTA': 4, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 0, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",40,30,166,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,8.Soloma,2244,presidente
15425,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 31, 'TODOS': 4, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",52,37,191,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,8.Soloma,2244,presidente
