mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16690,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 50, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 35}",5,51,279,1,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16691,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 40}",5,32,260,137,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16692,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 12, 'PHG': 2, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 56, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 18, 'CREO': 2, 'BIEN': 6, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 37}",5,35,291,0,Sumas Asentadas sin cuadrar,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16693,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 33}",2,40,249,0,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16694,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 53, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 8, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 55}",6,36,260,0,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16695,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 25}",1,24,233,11,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16696,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 78, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 10, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 31}",3,19,220,0,,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16697,,"{'UNE': 7, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 76, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",1,13,143,0,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16698,,"{'UNE': 6, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",0,10,103,0,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2499,presidente
16699,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 16, 'TODOS': 4, 'VAMOS': 45, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 2, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",12,37,247,0,Algún campo sin dato,14.Quiché,1.Santa Cruz Del Quiché,2500,presidente
