mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17327,,"{'UNE': 37, 'AZUL': 6, 'VALOR UNIONISTA': 17, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 44, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 33, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 7}",20,37,268,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17328,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 47, 'TODOS': 3, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",21,43,268,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17329,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 52, 'TODOS': 1, 'VAMOS': 45, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",30,49,269,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17330,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 39, 'TODOS': 1, 'VAMOS': 48, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 0, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",31,63,294,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17331,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 67, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",25,41,289,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17332,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 24, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",33,39,287,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17333,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 48, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",24,52,299,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17334,,"{'UNE': 53, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 48, 'TODOS': 2, 'VAMOS': 57, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 4}",27,34,293,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17335,,"{'UNE': 57, 'AZUL': 5, 'VALOR UNIONISTA': 17, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 57, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 2}",32,42,293,0,Algún campo sin dato,14.Quiché,10.Cunén,2621,presidente
17336,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 41, 'TODOS': 3, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 33, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",24,36,257,0,Algún campo sin dato,14.Quiché,10.Cunén,2622,presidente
17337,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 45, 'TODOS': 2, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",14,38,233,0,Algún campo sin dato,14.Quiché,10.Cunén,2622,presidente
17338,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",19,26,243,0,Sumas Asentadas sin cuadrar,14.Quiché,10.Cunén,2622,presidente
17339,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 33, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 1, 'VIVA': 41, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",18,48,256,0,Algún campo sin dato,14.Quiché,10.Cunén,2622,presidente
17340,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 10}",15,41,245,1,Algún campo sin dato,14.Quiché,10.Cunén,2623,presidente
17341,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 38, 'TODOS': 2, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",9,34,224,0,Algún campo sin dato,14.Quiché,10.Cunén,2623,presidente
