mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17435,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 36, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 34, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 19, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",17,49,236,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17436,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 59, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 35, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 33, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",26,39,235,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17437,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",20,52,193,0,Sumas Asentadas sin cuadrar,14.Quiché,12.Joyabaj,2646,presidente
17438,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 35, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 60, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 36, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",22,49,262,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17439,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 40, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 25, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",21,49,269,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17440,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 39, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 49, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",25,52,258,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17441,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 43, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 36, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",26,30,239,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17442,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 28, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 37, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",19,52,233,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2646,presidente
17443,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 39, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 28, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",18,57,240,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2647,presidente
17444,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 44, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 22, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",10,39,247,0,Algún campo sin dato,14.Quiché,12.Joyabaj,2647,presidente
