mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17558,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 36, 'TODOS': 8, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 64, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",18,42,313,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17559,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 28, 'TODOS': 13, 'VAMOS': 45, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 49, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",34,42,303,0,,14.Quiché,13.Nebaj,2669,presidente
17560,,"{'UNE': 90, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 27, 'TODOS': 11, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",28,43,322,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17561,,"{'UNE': 94, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 31, 'TODOS': 9, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 3, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",30,34,324,76,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17562,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 31, 'TODOS': 18, 'VAMOS': 42, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 57, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",16,42,321,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17563,,"{'UNE': 100, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 33, 'TODOS': 15, 'VAMOS': 32, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 43, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",27,37,327,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17564,,"{'UNE': 91, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 36, 'TODOS': 20, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 2, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",28,34,339,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17565,,"{'UNE': 81, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 41, 'TODOS': 13, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 64, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,44,339,0,Algún campo sin dato,14.Quiché,13.Nebaj,2669,presidente
17566,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 35, 'TODOS': 14, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 47, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",30,49,342,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
17567,,"{'UNE': 108, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 28, 'TODOS': 19, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 49, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 2}",26,38,358,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
17568,,"{'UNE': 103, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 32, 'TODOS': 24, 'VAMOS': 48, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",35,32,333,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
17569,,"{'UNE': 85, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 42, 'TODOS': 13, 'VAMOS': 42, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",27,26,317,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
17570,,"{'UNE': 67, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 27, 'TODOS': 16, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 1, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",24,34,311,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
17571,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 25, 'TODOS': 13, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 1, 'VIVA': 53, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",16,39,296,0,Algún campo sin dato,14.Quiché,13.Nebaj,2670,presidente
