mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17671,,"{'UNE': 40, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 49, 'TODOS': 2, 'VAMOS': 32, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",31,67,285,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17672,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 57, 'TODOS': 5, 'VAMOS': 32, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 4, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",44,52,299,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17673,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 36, 'TODOS': 7, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",14,52,200,0,Sumas Asentadas sin cuadrar,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17674,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 42, 'TODOS': 1, 'VAMOS': 43, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",19,60,265,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17675,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 32, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",4,21,137,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17676,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",0,35,134,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2685,presidente
17677,,"{'UNE': 38, 'AZUL': 5, 'VALOR UNIONISTA': 2, 'CABAL': 41, 'TODOS': 4, 'VAMOS': 50, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 0}",62,52,298,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2686,presidente
17678,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 43, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",21,26,158,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2686,presidente
17679,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 43, 'TODOS': 4, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",14,32,159,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2686,presidente
17680,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 55, 'TODOS': 3, 'VAMOS': 59, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",51,56,277,0,Algún campo sin dato,14.Quiché,14.San Andrés Sajcabajá,2687,presidente
