mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17809,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 60, 'TODOS': 1, 'VAMOS': 38, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",36,57,271,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2715,presidente
17810,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 0, 'CABAL': 63, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",29,44,262,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2715,presidente
17811,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 62, 'TODOS': 2, 'VAMOS': 40, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",38,43,261,0,Sumas Asentadas sin cuadrar,14.Quiché,16.Sacapulas,2715,presidente
17812,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 106, 'TODOS': 3, 'VAMOS': 46, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",28,39,291,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2715,presidente
17813,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 56, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",26,54,271,0,Sumas Asentadas sin cuadrar,14.Quiché,16.Sacapulas,2715,presidente
17814,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 61, 'TODOS': 3, 'VAMOS': 39, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",18,41,260,0,Sumas Asentadas sin cuadrar,14.Quiché,16.Sacapulas,2715,presidente
17815,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 48, 'TODOS': 5, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 39, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",25,39,286,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2716,presidente
17816,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 55, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",27,40,277,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2716,presidente
17817,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 77, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",13,43,236,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2716,presidente
17818,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 54, 'TODOS': 1, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",26,41,258,0,Algún campo sin dato,14.Quiché,16.Sacapulas,2716,presidente
