mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17920,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 70, 'TODOS': 1, 'VAMOS': 45, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",27,48,271,0,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17921,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 60, 'TODOS': 0, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",25,37,279,62,Sumas Asentadas sin cuadrar,14.Quiché,18.Canillá,2734,presidente
17922,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 60, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",19,54,279,0,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17923,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 0}",41,46,266,0,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17924,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 66, 'TODOS': 1, 'VAMOS': 42, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",44,48,271,0,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17925,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 43, 'TODOS': 3, 'VAMOS': 70, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",42,39,294,0,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17926,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 45, 'TODOS': 2, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",15,80,266,0,Sumas Asentadas sin cuadrar,14.Quiché,18.Canillá,2734,presidente
17927,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",17,55,211,1,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
17928,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 45, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",19,45,199,9,,14.Quiché,18.Canillá,2734,presidente
17929,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 66, 'TODOS': 1, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",25,33,230,6,Algún campo sin dato,14.Quiché,18.Canillá,2734,presidente
