mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17942,,"{'UNE': 171, 'AZUL': 1, 'VALOR UNIONISTA': 36, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 88, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",6,13,333,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17943,,"{'UNE': 150, 'AZUL': 0, 'VALOR UNIONISTA': 25, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 107, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",8,13,316,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17944,,"{'UNE': 181, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 94, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",8,16,327,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17945,,"{'UNE': 185, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 104, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",13,17,345,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17946,,"{'UNE': 164, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 90, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",6,24,310,0,Sumas Asentadas sin cuadrar,14.Quiché,19.Chicamán,2739,presidente
17947,,"{'UNE': 164, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 88, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",2,16,299,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17948,,"{'UNE': 178, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 76, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",8,23,323,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17949,,"{'UNE': 164, 'AZUL': 0, 'VALOR UNIONISTA': 25, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 81, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",8,7,301,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17950,,"{'UNE': 154, 'AZUL': 1, 'VALOR UNIONISTA': 30, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 83, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",3,11,297,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17951,,"{'UNE': 162, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 96, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",4,8,304,0,Sumas Asentadas sin cuadrar,14.Quiché,19.Chicamán,2739,presidente
17952,,"{'UNE': 155, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 83, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",6,21,297,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17953,,"{'UNE': 149, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 67, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",1,21,264,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
17954,,"{'UNE': 143, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 91, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",5,14,277,0,Algún campo sin dato,14.Quiché,19.Chicamán,2739,presidente
