mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16823,,"{'UNE': 47, 'AZUL': 5, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 42, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",19,34,266,0,Sumas Asentadas sin cuadrar,14.Quiché,2.Chiché,2522,presidente
16824,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 46, 'VAMOS': 33, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 14, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",34,28,270,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16825,,"{'UNE': 41, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 58, 'VAMOS': 74, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,23,299,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16826,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 54, 'VAMOS': 55, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 12, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",14,30,289,0,Sumas Asentadas sin cuadrar,14.Quiché,2.Chiché,2522,presidente
16827,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 63, 'VAMOS': 66, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",18,31,284,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16828,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 55, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 24, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",16,26,279,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16829,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 41, 'VAMOS': 56, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 23, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",19,36,278,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16830,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 2, 'TODOS': 42, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 46, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",16,47,295,0,Algún campo sin dato,14.Quiché,2.Chiché,2522,presidente
16831,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 8, 'TODOS': 44, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",8,44,227,0,Algún campo sin dato,14.Quiché,2.Chiché,2523,presidente
16832,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 44, 'VAMOS': 44, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 15, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",28,40,287,0,Algún campo sin dato,14.Quiché,2.Chiché,2523,presidente
16833,,"{'UNE': 40, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 3, 'TODOS': 39, 'VAMOS': 59, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 19, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",13,37,261,0,Algún campo sin dato,14.Quiché,2.Chiché,2523,presidente
16834,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 31, 'VAMOS': 40, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",16,34,239,0,Algún campo sin dato,14.Quiché,2.Chiché,2523,presidente
16835,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 10, 'TODOS': 42, 'VAMOS': 38, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 0}",16,23,244,0,Algún campo sin dato,14.Quiché,2.Chiché,2524,presidente
