mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18115,,"{'UNE': 24, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 50, 'TODOS': 3, 'VAMOS': 49, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",28,59,267,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18116,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 47, 'TODOS': 3, 'VAMOS': 65, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",22,47,281,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18117,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 54, 'TODOS': 3, 'VAMOS': 50, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",25,73,286,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18118,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 59, 'TODOS': 2, 'VAMOS': 53, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",28,50,292,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18119,,"{'UNE': 41, 'AZUL': 5, 'VALOR UNIONISTA': 21, 'CABAL': 65, 'TODOS': 3, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",22,53,310,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18120,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 57, 'TODOS': 4, 'VAMOS': 61, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",34,55,288,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18121,,"{'UNE': 55, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 72, 'TODOS': 3, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",32,61,314,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18122,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 61, 'TODOS': 2, 'VAMOS': 58, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",15,55,272,0,Sumas Asentadas sin cuadrar,14.Quiché,21.Pachalum,2768,presidente
18123,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 46, 'TODOS': 3, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",17,34,213,0,Algún campo sin dato,14.Quiché,21.Pachalum,2768,presidente
18124,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 46, 'TODOS': 3, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",19,57,254,0,Sumas Asentadas sin cuadrar,14.Quiché,21.Pachalum,2769,presidente
