mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16865,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 9, 'VAMOS': 28, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 0, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",31,46,258,0,Algún campo sin dato,14.Quiché,3.Chinique,2530,presidente
16866,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 42, 'TODOS': 13, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",23,49,286,0,Algún campo sin dato,14.Quiché,3.Chinique,2530,presidente
16867,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 35, 'TODOS': 14, 'VAMOS': 35, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",56,49,316,0,Algún campo sin dato,14.Quiché,3.Chinique,2530,presidente
16868,,"{'UNE': 42, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 15, 'VAMOS': 38, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 12, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",29,59,293,0,Algún campo sin dato,14.Quiché,3.Chinique,2530,presidente
16869,,"{'UNE': 29, 'AZUL': 7, 'VALOR UNIONISTA': 20, 'CABAL': 24, 'TODOS': 22, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 14, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",39,50,286,0,,14.Quiché,3.Chinique,2530,presidente
16870,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 28, 'TODOS': 12, 'VAMOS': 34, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 3, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",45,43,284,0,Algún campo sin dato,14.Quiché,3.Chinique,2531,presidente
16871,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 30, 'TODOS': 15, 'VAMOS': 20, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 14, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 47, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 12}",18,34,247,0,Algún campo sin dato,14.Quiché,3.Chinique,2531,presidente
16872,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 11, 'VAMOS': 26, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 3, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 23}",12,44,251,0,Algún campo sin dato,14.Quiché,3.Chinique,2531,presidente
16873,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 27, 'TODOS': 13, 'VAMOS': 36, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 3, 'PPN': 9, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",13,49,259,0,Algún campo sin dato,14.Quiché,3.Chinique,2531,presidente
16874,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 25, 'TODOS': 12, 'VAMOS': 25, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",9,38,231,0,Algún campo sin dato,14.Quiché,3.Chinique,2531,presidente
16875,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 31, 'TODOS': 8, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",8,33,204,0,Algún campo sin dato,14.Quiché,3.Chinique,2532,presidente
16876,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 19, 'TODOS': 9, 'VAMOS': 24, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 9, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 5}",12,31,172,0,Algún campo sin dato,14.Quiché,3.Chinique,2532,presidente
