mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16887,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 45, 'TODOS': 29, 'VAMOS': 94, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",19,43,293,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2537,presidente
16888,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 49, 'TODOS': 29, 'VAMOS': 104, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",28,35,303,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2537,presidente
16889,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 72, 'TODOS': 22, 'VAMOS': 90, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",18,45,309,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2537,presidente
16890,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 66, 'TODOS': 28, 'VAMOS': 113, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",19,32,312,0,Sumas Asentadas sin cuadrar,14.Quiché,4.Zacualpa,2538,presidente
16891,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 82, 'TODOS': 31, 'VAMOS': 109, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",11,35,314,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2538,presidente
16892,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 126, 'TODOS': 21, 'VAMOS': 68, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",18,41,326,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2538,presidente
16893,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 153, 'TODOS': 15, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",19,29,323,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2538,presidente
16894,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 167, 'TODOS': 9, 'VAMOS': 65, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",24,22,315,2,Sumas Asentadas sin cuadrar,14.Quiché,4.Zacualpa,2538,presidente
16895,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 134, 'TODOS': 15, 'VAMOS': 76, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",20,26,320,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2539,presidente
16896,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 67, 'TODOS': 22, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",10,48,276,0,Algún campo sin dato,14.Quiché,4.Zacualpa,2539,presidente
