mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16945,,"{'UNE': 143, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 5, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",59,10,351,0,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16946,,"{'UNE': 139, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 54, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",57,15,337,6,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16947,,"{'UNE': 143, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 9, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",48,25,342,1,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16948,,"{'UNE': 150, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",64,21,348,0,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16949,,"{'UNE': 144, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 66, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 12, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",48,7,350,0,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16950,,"{'UNE': 132, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",73,25,351,0,Algún campo sin dato,14.Quiché,5.Chajul,2549,presidente
16951,,"{'UNE': 132, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 29, 'TODOS': 7, 'VAMOS': 67, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 7}",57,37,405,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2549,presidente
16952,,"{'UNE': 159, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 11, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",71,24,364,0,Algún campo sin dato,14.Quiché,5.Chajul,2550,presidente
16953,,"{'UNE': 146, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 35, 'TODOS': 6, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",58,26,346,0,Algún campo sin dato,14.Quiché,5.Chajul,2550,presidente
16954,,"{'UNE': 130, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 28, 'PHG': 1, 'PR': 0, 'PIN': 9, 'ELEFANTE': 39, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 0, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",53,35,352,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2550,presidente
16955,,"{'UNE': 117, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 5, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",39,39,291,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2550,presidente
16956,,"{'UNE': 128, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",70,27,328,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2551,presidente
16957,,"{'UNE': 144, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 30, 'TODOS': 4, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",58,17,327,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2551,presidente
16958,,"{'UNE': 116, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 32, 'TODOS': 3, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",46,44,321,0,Sumas Asentadas sin cuadrar,14.Quiché,5.Chajul,2551,presidente
