mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17016,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",17,49,281,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17017,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 42, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 17, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",9,43,294,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17018,,"{'UNE': 20, 'AZUL': 7, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 25, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 17, 'SEMILLA': 56, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 13, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",14,47,308,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17019,,"{'UNE': 28, 'AZUL': 6, 'VALOR UNIONISTA': 15, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 26, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 26}",13,52,306,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17020,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 23}",2,29,272,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17021,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 4, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 22}",10,36,245,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17022,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 24, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 5, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",0,41,262,0,Sumas Asentadas sin cuadrar,14.Quiché,6.Chichicastenango,2571,presidente
17023,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 63, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 4, 'BIEN': 11, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 17}",1,44,279,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17024,,"{'UNE': 26, 'AZUL': 6, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 6, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",16,42,271,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
17025,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 14, 'CREO': 0, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",14,39,247,0,Algún campo sin dato,14.Quiché,6.Chichicastenango,2571,presidente
