mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17222,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 43, 'TODOS': 0, 'VAMOS': 59, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",40,72,297,0,Sumas Asentadas sin cuadrar,14.Quiché,7.Patzité,2597,presidente
17223,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 68, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",70,73,322,0,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17224,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 63, 'TODOS': 0, 'VAMOS': 76, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 51, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",62,61,351,1,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17225,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 55, 'TODOS': 2, 'VAMOS': 77, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",130,37,397,0,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17226,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 51, 'TODOS': 1, 'VAMOS': 85, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",54,74,337,63,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17227,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",29,62,279,0,,14.Quiché,7.Patzité,2597,presidente
17228,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 43, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",28,67,279,118,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17229,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 54, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",31,46,273,0,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17230,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 72, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 55, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",123,53,382,17,Algún campo sin dato,14.Quiché,7.Patzité,2597,presidente
17231,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Suma Excede Padrón,14.Quiché,7.Patzité,2597,presidente
