mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
17276,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 7, 'TODOS': 31, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 25, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 65, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",29,58,282,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2607,presidente
17277,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 32, 'VAMOS': 16, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 3, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 0, 'VIVA': 68, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",33,23,254,13,Sumas Asentadas sin cuadrar,14.Quiché,9.San Pedro Jocopilas,2607,presidente
17278,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 2, 'TODOS': 30, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 29, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 69, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",36,49,274,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2607,presidente
17279,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 1, 'TODOS': 47, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 37, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 51, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",59,37,295,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2608,presidente
17280,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 2, 'TODOS': 51, 'VAMOS': 35, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 36, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 46, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",47,53,308,0,Sumas Asentadas sin cuadrar,14.Quiché,9.San Pedro Jocopilas,2608,presidente
17281,,"{'UNE': 22, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 5, 'TODOS': 43, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 33, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 0, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",53,46,320,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2608,presidente
17282,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 2, 'TODOS': 83, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 34, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 57, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 1}",36,44,311,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2608,presidente
17283,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 5, 'TODOS': 50, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 32, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 61, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 5}",44,60,323,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2608,presidente
17284,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 1, 'TODOS': 90, 'VAMOS': 11, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 19, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 72, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 2}",35,50,322,101,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2609,presidente
17285,,"{'UNE': 9, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 5, 'TODOS': 50, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 33, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 2, 'VIVA': 94, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",37,48,323,0,Algún campo sin dato,14.Quiché,9.San Pedro Jocopilas,2609,presidente
