mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18134,,"{'UNE': 25, 'AZUL': 9, 'VALOR UNIONISTA': 26, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 13, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",12,49,254,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18135,,"{'UNE': 20, 'AZUL': 9, 'VALOR UNIONISTA': 16, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 14}",8,69,235,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18136,,"{'UNE': 21, 'AZUL': 12, 'VALOR UNIONISTA': 1, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 14, 'PHG': 7, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 11}",7,73,230,0,Sumas Asentadas sin cuadrar,15.Baja Verapaz,1.Salamá,2772,presidente
18137,,"{'UNE': 27, 'AZUL': 10, 'VALOR UNIONISTA': 17, 'CABAL': 34, 'TODOS': 5, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",2,54,248,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18138,,"{'UNE': 25, 'AZUL': 11, 'VALOR UNIONISTA': 14, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 8, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 28}",4,58,249,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18139,,"{'UNE': 28, 'AZUL': 17, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 6, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 19}",7,58,244,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18140,,"{'UNE': 19, 'AZUL': 10, 'VALOR UNIONISTA': 16, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 13}",11,68,261,1,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18141,,"{'UNE': 22, 'AZUL': 10, 'VALOR UNIONISTA': 19, 'CABAL': 39, 'TODOS': 4, 'VAMOS': 19, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 25}",8,69,283,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18142,,"{'UNE': 28, 'AZUL': 12, 'VALOR UNIONISTA': 21, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 9, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 20}",6,59,266,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18143,,"{'UNE': 21, 'AZUL': 19, 'VALOR UNIONISTA': 17, 'CABAL': 20, 'TODOS': 6, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 21}",3,80,261,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2772,presidente
18144,,"{'UNE': 25, 'AZUL': 11, 'VALOR UNIONISTA': 23, 'CABAL': 18, 'TODOS': 8, 'VAMOS': 29, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 18}",7,64,264,0,Algún campo sin dato,15.Baja Verapaz,1.Salamá,2773,presidente
