mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18244,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",37,90,272,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18245,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 3, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",58,95,297,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18246,,"{'UNE': 75, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 3, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",82,70,328,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18247,,"{'UNE': 69, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 5}",59,83,340,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18248,,"{'UNE': 65, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 3, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",68,87,332,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18249,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 1, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",47,98,317,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18250,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 5, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 4, 'BIEN': 0, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",38,91,325,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18251,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 2, 'BIEN': 2, 'VIVA': 48, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 10}",55,69,314,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18252,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 15, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 6, 'VIVA': 51, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",41,103,326,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
18253,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 2, 'VIVA': 45, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",66,92,312,0,Algún campo sin dato,15.Baja Verapaz,2.San Miguel Chicaj,2793,presidente
