mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18292,,"{'UNE': 58, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 6, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",23,65,280,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18293,,"{'UNE': 59, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 15}",21,57,265,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18294,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 3, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",25,55,261,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18295,,"{'UNE': 77, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 4, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",24,59,269,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18296,,"{'UNE': 76, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 1, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 17}",23,55,266,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18297,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 6, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 28}",14,57,272,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18298,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",8,43,235,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18299,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 32, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",23,54,254,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18300,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 53, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 10, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",7,53,265,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
18301,,"{'UNE': 70, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 29}",17,61,283,0,Algún campo sin dato,15.Baja Verapaz,3.Rabinal,2800,presidente
