mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18448,,"{'UNE': 71, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 62, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",30,37,273,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18449,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 76, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",42,45,296,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18450,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 85, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",29,54,306,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18451,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 104, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",34,59,308,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18452,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 91, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",35,50,313,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18453,,"{'UNE': 60, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 88, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",45,38,315,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2829,presidente
18454,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 73, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",46,65,315,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2830,presidente
18455,,"{'UNE': 52, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 3, 'VAMOS': 58, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",13,38,252,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2830,presidente
18456,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 64, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",21,55,264,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2830,presidente
18457,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 49, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",23,49,242,0,Algún campo sin dato,15.Baja Verapaz,5.Granados,2830,presidente
