mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18477,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 51, 'TODOS': 1, 'VAMOS': 2, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 12}",34,53,275,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18478,,"{'UNE': 53, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 44, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 15}",47,54,293,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18479,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 44, 'CABAL': 52, 'TODOS': 1, 'VAMOS': 1, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",34,59,303,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18480,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 28, 'CABAL': 65, 'TODOS': 0, 'VAMOS': 4, 'PHG': 4, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",40,56,307,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18481,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 37, 'CABAL': 72, 'TODOS': 1, 'VAMOS': 1, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",48,51,320,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18482,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 57, 'TODOS': 0, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",21,61,263,0,,15.Baja Verapaz,6.El Chol,2836,presidente
18483,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 54, 'TODOS': 0, 'VAMOS': 3, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",17,62,272,0,,15.Baja Verapaz,6.El Chol,2837,presidente
18484,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 32, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 2, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",18,62,262,0,,15.Baja Verapaz,6.El Chol,2837,presidente
18485,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",30,65,269,0,,15.Baja Verapaz,6.El Chol,2837,presidente
18486,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",6,64,219,0,,15.Baja Verapaz,6.El Chol,2837,presidente
