mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18497,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 20, 'TODOS': 8, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",10,72,222,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18498,,"{'UNE': 26, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 22, 'TODOS': 11, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 4, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",14,63,261,1,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18499,,"{'UNE': 35, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 17, 'TODOS': 12, 'VAMOS': 5, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 8}",15,66,247,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18500,,"{'UNE': 48, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 26, 'TODOS': 20, 'VAMOS': 9, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 21, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 5}",17,48,260,1,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18501,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 18, 'TODOS': 14, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 4}",22,72,266,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18502,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 7, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",4,49,190,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18503,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 31, 'TODOS': 7, 'VAMOS': 13, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",11,59,240,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18504,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 32, 'TODOS': 7, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 3, 'ELEFANTE': 9, 'VICTORIA': 4, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 6}",6,55,228,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2842,presidente
18505,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 4, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",3,57,235,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2843,presidente
18506,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",3,33,157,0,Algún campo sin dato,15.Baja Verapaz,7.San Jerónimo,2843,presidente
