mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18536,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 30, 'VAMOS': 17, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 27, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",17,93,282,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2849,presidente
18537,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 13, 'TODOS': 25, 'VAMOS': 19, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 34, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",18,103,318,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2849,presidente
18538,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 40, 'VAMOS': 15, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 25, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",25,99,320,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2850,presidente
18539,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 11, 'TODOS': 38, 'VAMOS': 17, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 46, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",20,116,329,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2850,presidente
18540,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 30, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 44, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",17,87,328,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2850,presidente
18541,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 36, 'VAMOS': 13, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 23, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 3}",30,93,304,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2850,presidente
18542,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 31, 'VAMOS': 17, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 32, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",40,77,307,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2851,presidente
18543,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 13, 'TODOS': 24, 'VAMOS': 8, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 22, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",19,82,264,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2852,presidente
18544,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 22, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 24, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",17,86,252,3,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2853,presidente
18545,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 10, 'TODOS': 16, 'VAMOS': 14, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 19, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",18,77,266,0,Algún campo sin dato,15.Baja Verapaz,8.Purulhá,2854,presidente
