mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18613,,"{'UNE': 21, 'AZUL': 5, 'VALOR UNIONISTA': 19, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 12, 'PHG': 3, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 26, 'SEMILLA': 36, 'FCN-NACION': 2, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 12, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 23}",3,50,273,1,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18614,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 16, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 21, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 9, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 15}",4,57,270,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18615,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 15, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 29, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 8, 'VIVA': 12, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 24}",6,62,289,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18616,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 33, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 22, 'PHG': 2, 'PR': 5, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 18, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 14, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",1,51,303,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18617,,"{'UNE': 16, 'AZUL': 8, 'VALOR UNIONISTA': 25, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 19, 'SEMILLA': 51, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 5, 'BIEN': 8, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 27}",9,42,282,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,1.Cobán,2872,presidente
18618,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 18, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 10, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 22}",4,47,277,0,,16.Alta Verapaz,1.Cobán,2872,presidente
18619,,"{'UNE': 16, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 15, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 23}",10,52,284,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18620,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 33, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 17, 'PHG': 3, 'PR': 5, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 9, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 19, 'VIVA': 12, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 26}",0,61,296,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18621,,"{'UNE': 10, 'AZUL': 5, 'VALOR UNIONISTA': 32, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 13, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 28}",4,50,273,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
18622,,"{'UNE': 20, 'AZUL': 7, 'VALOR UNIONISTA': 30, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 16, 'PHG': 4, 'PR': 5, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 60, 'FCN-NACION': 3, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 11, 'CREO': 6, 'BIEN': 15, 'VIVA': 10, 'MI FAMILIA': 10, 'CAMBIO': 1, 'VOS': 27}",1,51,314,0,Algún campo sin dato,16.Alta Verapaz,1.Cobán,2872,presidente
