mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19740,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 35, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 34, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",22,62,296,12,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19741,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 62, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 22, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 38, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 1, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",22,70,348,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19742,,"{'UNE': 28, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 51, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 20, 'FCN-NACION': 3, 'PPN': 34, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 11}",22,76,323,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19743,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 35, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 22, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 25, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 8, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",27,73,322,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19744,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 46, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 32, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",17,59,334,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19745,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 51, 'PHG': 4, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 26, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 26, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 2, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",12,67,356,1,,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19746,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 64, 'PHG': 4, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 37, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",9,77,344,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19747,,"{'UNE': 33, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 47, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 24, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 3, 'VIVA': 38, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",16,78,344,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3014,presidente
19748,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 14, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",9,73,289,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3015,presidente
19749,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 48, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 15, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",11,75,292,107,Sumas Asentadas sin cuadrar,16.Alta Verapaz,10.San Juan Chamelco,3016,presidente
19750,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 34, 'PHG': 4, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 17, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 24}",9,71,308,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3016,presidente
19751,,"{'UNE': 31, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 45, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 37, 'FCN-NACION': 3, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",8,77,313,1,,16.Alta Verapaz,10.San Juan Chamelco,3016,presidente
19752,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 29, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 18, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 24}",13,67,314,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3016,presidente
19753,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 18, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 29, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",14,60,290,0,Algún campo sin dato,16.Alta Verapaz,10.San Juan Chamelco,3016,presidente
