mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19828,,"{'UNE': 79, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 27, 'TODOS': 3, 'VAMOS': 19, 'PHG': 52, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 19, 'CREO': 4, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 1}",22,49,321,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3038,presidente
19829,,"{'UNE': 78, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 47, 'TODOS': 3, 'VAMOS': 28, 'PHG': 52, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 15, 'CREO': 1, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 1}",21,25,321,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3038,presidente
19830,,"{'UNE': 91, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 34, 'TODOS': 3, 'VAMOS': 23, 'PHG': 40, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 4, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 12, 'VOS': 1}",15,38,325,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3038,presidente
19831,,"{'UNE': 58, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 36, 'TODOS': 2, 'VAMOS': 27, 'PHG': 26, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 18, 'CREO': 3, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 18, 'VOS': 1}",16,53,312,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3038,presidente
19832,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 30, 'TODOS': 5, 'VAMOS': 25, 'PHG': 39, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 24, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 7, 'VOS': 0}",12,49,305,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3038,presidente
19833,,"{'UNE': 85, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 52, 'TODOS': 13, 'VAMOS': 29, 'PHG': 41, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 4}",17,30,321,0,,16.Alta Verapaz,11.Lanquín,3039,presidente
19834,,"{'UNE': 60, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 34, 'TODOS': 6, 'VAMOS': 32, 'PHG': 51, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 6, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 6, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 7, 'VOS': 3}",19,48,320,0,,16.Alta Verapaz,11.Lanquín,3039,presidente
19835,,"{'UNE': 54, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 16, 'PHG': 34, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 11, 'VOS': 5}",16,62,284,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3040,presidente
19836,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 28, 'TODOS': 3, 'VAMOS': 18, 'PHG': 42, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 5}",14,40,276,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3040,presidente
19837,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 18, 'PHG': 45, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 3, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 6}",13,51,288,0,Algún campo sin dato,16.Alta Verapaz,11.Lanquín,3041,presidente
