mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19869,,"{'UNE': 54, 'AZUL': 6, 'VALOR UNIONISTA': 24, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 40, 'PHG': 63, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",12,44,297,3,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3048,presidente
19870,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 22, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 65, 'PHG': 95, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",23,39,315,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3048,presidente
19871,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,16.Alta Verapaz,12.Cahabón,3048,presidente
19872,,"{'UNE': 66, 'AZUL': 16, 'VALOR UNIONISTA': 18, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 51, 'PHG': 62, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 0}",31,32,328,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3049,presidente
19873,,"{'UNE': 66, 'AZUL': 1, 'VALOR UNIONISTA': 28, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 38, 'PHG': 54, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",22,34,306,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3049,presidente
19874,,"{'UNE': 92, 'AZUL': 2, 'VALOR UNIONISTA': 34, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 22, 'PHG': 66, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",21,34,307,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3049,presidente
19875,,"{'UNE': 71, 'AZUL': 2, 'VALOR UNIONISTA': 26, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 34, 'PHG': 80, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 3, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",23,45,328,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3050,presidente
19876,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 29, 'PHG': 67, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",21,43,310,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3051,presidente
19877,,"{'UNE': 52, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 34, 'PHG': 79, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",21,49,314,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3051,presidente
19878,,"{'UNE': 42, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 64, 'PHG': 47, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 5, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",27,43,289,0,Algún campo sin dato,16.Alta Verapaz,12.Cahabón,3051,presidente
