mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19982,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 75, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 1, 'VIVA': 60, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 4}",36,68,323,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3093,presidente
19983,,"{'UNE': 47, 'AZUL': 5, 'VALOR UNIONISTA': 75, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 1, 'VIVA': 93, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",30,51,336,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3093,presidente
19984,,"{'UNE': 53, 'AZUL': 3, 'VALOR UNIONISTA': 51, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 1, 'VIVA': 88, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 3}",37,64,321,7,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3093,presidente
19985,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 66, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 1, 'VIVA': 70, 'MI FAMILIA': 4, 'CAMBIO': 6, 'VOS': 2}",30,74,324,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3093,presidente
19986,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 75, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 1, 'VIVA': 80, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",34,57,310,14,Sumas Asentadas sin cuadrar,16.Alta Verapaz,13.Chisec,3094,presidente
19987,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 64, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 27, 'CREO': 0, 'BIEN': 0, 'VIVA': 67, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",43,60,327,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3094,presidente
19988,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 65, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 0, 'VIVA': 77, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",44,60,349,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3094,presidente
19989,,"{'UNE': 49, 'AZUL': 7, 'VALOR UNIONISTA': 80, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 1, 'VIVA': 63, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",42,59,341,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3095,presidente
19990,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 46, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 0, 'VIVA': 69, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",20,76,289,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3095,presidente
19991,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 64, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 4, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 67, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",38,74,304,0,Algún campo sin dato,16.Alta Verapaz,13.Chisec,3095,presidente
