mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20099,,"{'UNE': 49, 'AZUL': 21, 'VALOR UNIONISTA': 4, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 10, 'PHG': 36, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",29,82,263,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3120,presidente
20100,,"{'UNE': 58, 'AZUL': 11, 'VALOR UNIONISTA': 3, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 16, 'PHG': 33, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 0}",25,73,244,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,14.Chahal,3120,presidente
20101,,"{'UNE': 82, 'AZUL': 25, 'VALOR UNIONISTA': 4, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 13, 'PHG': 24, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 9, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",32,70,288,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3120,presidente
20102,,"{'UNE': 63, 'AZUL': 33, 'VALOR UNIONISTA': 0, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 16, 'PHG': 19, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",36,69,280,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3120,presidente
20103,,"{'UNE': 71, 'AZUL': 45, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 22, 'PHG': 21, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 1}",14,84,293,0,,16.Alta Verapaz,14.Chahal,3120,presidente
20104,,"{'UNE': 68, 'AZUL': 11, 'VALOR UNIONISTA': 4, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 14, 'PHG': 25, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 3}",31,68,262,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3120,presidente
20105,,"{'UNE': 59, 'AZUL': 13, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 16, 'PHG': 19, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 6}",17,100,279,3,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3121,presidente
20106,,"{'UNE': 65, 'AZUL': 17, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 8, 'PHG': 25, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",22,85,256,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3121,presidente
20107,,"{'UNE': 45, 'AZUL': 13, 'VALOR UNIONISTA': 2, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 10, 'PHG': 22, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",16,93,247,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3121,presidente
20108,,"{'UNE': 38, 'AZUL': 7, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 11, 'PHG': 24, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",16,72,224,0,Algún campo sin dato,16.Alta Verapaz,14.Chahal,3121,presidente
