mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20229,,"{'UNE': 81, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 44, 'PHG': 7, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",11,55,275,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20230,,"{'UNE': 90, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 3, 'VAMOS': 62, 'PHG': 14, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 17, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",3,62,289,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20231,,"{'UNE': 80, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 63, 'PHG': 17, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 23, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",4,42,284,1,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20232,,"{'UNE': 105, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 51, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 28, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",15,55,306,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20233,,"{'UNE': 105, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 53, 'PHG': 7, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 25, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",4,51,305,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20234,,"{'UNE': 78, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 43, 'PHG': 7, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 19, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",9,68,275,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20235,,"{'UNE': 68, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 35, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 20, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",4,57,249,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3145,presidente
20236,,"{'UNE': 85, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 32, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 11, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",6,58,244,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20237,,"{'UNE': 90, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 40, 'PHG': 11, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 20, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",7,47,275,6,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20238,,"{'UNE': 86, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 48, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 27, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",7,62,291,1,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20239,,"{'UNE': 89, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 43, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",11,55,273,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20240,,"{'UNE': 82, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 46, 'PHG': 3, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 35, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",12,54,270,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20241,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 48, 'PHG': 16, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 18, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",11,62,267,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20242,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 37, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",3,63,243,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20243,,"{'UNE': 70, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 41, 'PHG': 10, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",4,54,256,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20244,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 33, 'PHG': 7, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",6,36,197,0,,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20245,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 25, 'PHG': 15, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",5,37,176,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3146,presidente
20246,,"{'UNE': 84, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 67, 'PHG': 27, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 17, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",13,71,320,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3147,presidente
20247,,"{'UNE': 95, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 69, 'PHG': 25, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",17,57,326,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3147,presidente
20248,,"{'UNE': 100, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 53, 'PHG': 42, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 34, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",10,46,329,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3147,presidente
20249,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 65, 'PHG': 16, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",8,58,276,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3147,presidente
20250,,"{'UNE': 92, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 61, 'PHG': 22, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",11,63,314,74,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3147,presidente
20251,,"{'UNE': 93, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 73, 'PHG': 19, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 22, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",10,67,324,57,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20252,,"{'UNE': 88, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 61, 'PHG': 26, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",11,63,305,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20253,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 68, 'PHG': 29, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",6,47,267,5,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20254,,"{'UNE': 83, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 54, 'PHG': 28, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 14, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",5,50,282,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20255,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 22, 'PHG': 7, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 20, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",3,22,142,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20256,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 29, 'PHG': 16, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",11,36,167,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3148,presidente
20257,,"{'UNE': 117, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 67, 'PHG': 16, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 37, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",10,49,315,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3149,presidente
20258,,"{'UNE': 95, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 93, 'PHG': 18, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 34, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",7,31,312,85,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3149,presidente
20259,,"{'UNE': 91, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 68, 'PHG': 37, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 36, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",5,33,301,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3149,presidente
20260,,"{'UNE': 104, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 67, 'PHG': 28, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 31, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",12,46,325,74,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3150,presidente
20261,,"{'UNE': 89, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 72, 'PHG': 28, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 38, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",6,37,290,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,16.Santa Catalina La Tinta,3150,presidente
20262,,"{'UNE': 82, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 38, 'PHG': 19, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 29, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",5,22,219,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3150,presidente
20263,,"{'UNE': 80, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 55, 'PHG': 12, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",3,18,209,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3150,presidente
20264,,"{'UNE': 126, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 33, 'PHG': 15, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 12, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",34,44,312,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3151,presidente
20265,,"{'UNE': 125, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 22, 'PHG': 18, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 3, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",18,47,289,0,Algún campo sin dato,16.Alta Verapaz,16.Santa Catalina La Tinta,3151,presidente
