mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20291,,"{'UNE': 69, 'AZUL': 8, 'VALOR UNIONISTA': 7, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 40, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",16,52,233,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3154,presidente
20292,,"{'UNE': 79, 'AZUL': 14, 'VALOR UNIONISTA': 15, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 41, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",17,59,273,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3154,presidente
20293,,"{'UNE': 74, 'AZUL': 14, 'VALOR UNIONISTA': 6, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 5, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 37, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 13, 'UR': 2, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",20,54,261,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3154,presidente
20294,,"{'UNE': 81, 'AZUL': 8, 'VALOR UNIONISTA': 10, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 25, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 12, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",9,55,234,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3154,presidente
20295,,"{'UNE': 64, 'AZUL': 8, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 35, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",20,33,215,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,17.Raxruhá,3154,presidente
20296,,"{'UNE': 88, 'AZUL': 9, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 28, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 12, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",10,55,245,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3155,presidente
20297,,"{'UNE': 93, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 32, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",12,55,252,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3155,presidente
20298,,"{'UNE': 81, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 30, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",17,54,227,0,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3156,presidente
20299,,"{'UNE': 48, 'AZUL': 10, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 8, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 26, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",13,40,200,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,17.Raxruhá,3156,presidente
20300,,"{'UNE': 46, 'AZUL': 9, 'VALOR UNIONISTA': 3, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 34, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",3,43,203,5,Algún campo sin dato,16.Alta Verapaz,17.Raxruhá,3156,presidente
