mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18909,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 30, 'CABAL': 11, 'TODOS': 3, 'VAMOS': 13, 'PHG': 3, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 21, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",21,80,274,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18910,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 24, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 8, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 20, 'SEMILLA': 37, 'FCN-NACION': 2, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 16}",21,68,288,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18911,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 30, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 6, 'PHG': 13, 'PR': 3, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 35, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 11, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 7, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",15,81,296,14,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18912,,"{'UNE': 48, 'AZUL': 6, 'VALOR UNIONISTA': 25, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 10, 'PHG': 18, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 27, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",18,81,307,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18913,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 10, 'PHG': 11, 'PR': 1, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 27, 'SEMILLA': 14, 'FCN-NACION': 4, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",13,97,302,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18914,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 35, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 6, 'PHG': 15, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 43, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 12}",20,87,325,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2899,presidente
18915,,"{'UNE': 50, 'AZUL': 2, 'VALOR UNIONISTA': 45, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 12, 'PHG': 9, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 29, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",17,67,304,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
18916,,"{'UNE': 40, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 6, 'PHG': 8, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 21, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",8,80,279,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
18917,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 7, 'PHG': 12, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 19, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 15}",13,66,264,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
18918,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 27, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 9, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 18, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",12,54,247,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
18919,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 6, 'PHG': 8, 'PR': 3, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 22, 'SEMILLA': 29, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 15}",14,66,269,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
18920,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 5, 'PHG': 5, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 14, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",11,62,259,0,Algún campo sin dato,16.Alta Verapaz,2.Santa Cruz Verapaz,2900,presidente
