mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
18956,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 29, 'PHG': 2, 'PR': 19, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 26}",14,59,305,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18957,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 16, 'PHG': 2, 'PR': 7, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 16}",11,74,288,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18958,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 22, 'PHG': 2, 'PR': 15, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 7, 'VIVA': 33, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 12}",22,50,278,13,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18959,,"{'UNE': 34, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 31, 'PHG': 6, 'PR': 14, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 13}",11,82,317,2,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18960,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 27, 'PHG': 3, 'PR': 16, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 24}",12,56,301,4,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18961,,"{'UNE': 34, 'AZUL': 4, 'VALOR UNIONISTA': 38, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 26, 'PHG': 3, 'PR': 17, 'PIN': 2, 'ELEFANTE': 7, 'VICTORIA': 10, 'SEMILLA': 32, 'FCN-NACION': 3, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",19,64,330,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18962,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 16, 'PHG': 4, 'PR': 25, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",27,86,320,80,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18963,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 17, 'PHG': 4, 'PR': 17, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 18, 'SEMILLA': 38, 'FCN-NACION': 5, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 47, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 9}",17,61,327,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18964,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 21, 'PHG': 11, 'PR': 18, 'PIN': 3, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 40, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",11,54,304,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
18965,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 23, 'PHG': 14, 'PR': 16, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 10, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",24,66,299,0,Algún campo sin dato,16.Alta Verapaz,3.San Cristóbal Verapaz,2907,presidente
