mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19139,,"{'UNE': 84, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 34, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 71, 'SEMILLA': 3, 'FCN-NACION': 7, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",16,46,299,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2934,presidente
19140,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 67, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 80, 'SEMILLA': 3, 'FCN-NACION': 10, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",22,34,333,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2934,presidente
19141,,"{'UNE': 50, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 45, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 84, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 1, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",22,34,332,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2935,presidente
19142,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 49, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 107, 'SEMILLA': 3, 'FCN-NACION': 4, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 46, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",14,30,336,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2935,presidente
19143,,"{'UNE': 78, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 90, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 47, 'SEMILLA': 4, 'FCN-NACION': 11, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",20,43,339,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2936,presidente
19144,,"{'UNE': 78, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 46, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 64, 'SEMILLA': 8, 'FCN-NACION': 9, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",27,48,328,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2936,presidente
19145,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 38, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 109, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",16,48,335,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2937,presidente
19146,,"{'UNE': 67, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 86, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 58, 'SEMILLA': 0, 'FCN-NACION': 10, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",16,36,324,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2937,presidente
19147,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 46, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 138, 'SEMILLA': 1, 'FCN-NACION': 4, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 1}",20,35,328,0,Algún campo sin dato,16.Alta Verapaz,6.Tucurú,2937,presidente
19148,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 53, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 70, 'SEMILLA': 4, 'FCN-NACION': 5, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",9,43,285,0,,16.Alta Verapaz,6.Tucurú,2937,presidente
