mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19205,,"{'UNE': 85, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 3, 'PHG': 98, 'PR': 0, 'PIN': 1, 'ELEFANTE': 11, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",12,46,278,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19206,,"{'UNE': 87, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 8, 'PHG': 68, 'PR': 0, 'PIN': 0, 'ELEFANTE': 19, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",6,53,267,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19207,,"{'UNE': 138, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 8, 'PHG': 77, 'PR': 0, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",9,43,301,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19208,,"{'UNE': 89, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 7, 'PHG': 89, 'PR': 0, 'PIN': 0, 'ELEFANTE': 39, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",11,66,317,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,7.Panzós,2949,presidente
19209,,"{'UNE': 108, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 9, 'PHG': 69, 'PR': 0, 'PIN': 0, 'ELEFANTE': 16, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",16,53,295,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19210,,"{'UNE': 93, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 4, 'PHG': 91, 'PR': 0, 'PIN': 0, 'ELEFANTE': 17, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",18,65,301,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,7.Panzós,2949,presidente
19211,,"{'UNE': 108, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 5, 'PHG': 75, 'PR': 0, 'PIN': 0, 'ELEFANTE': 15, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",12,53,285,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19212,,"{'UNE': 98, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 4, 'PHG': 76, 'PR': 0, 'PIN': 0, 'ELEFANTE': 16, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",6,54,269,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19213,,"{'UNE': 90, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 4, 'PHG': 82, 'PR': 0, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",8,40,259,0,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
19214,,"{'UNE': 102, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 8, 'PHG': 61, 'PR': 0, 'PIN': 0, 'ELEFANTE': 15, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",7,56,268,10,Algún campo sin dato,16.Alta Verapaz,7.Panzós,2949,presidente
