mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19302,,"{'UNE': 68, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 27, 'PHG': 13, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 39, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",9,45,257,0,Sumas Asentadas sin cuadrar,16.Alta Verapaz,8.Senahú,2963,presidente
19303,,"{'UNE': 92, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 20, 'PHG': 11, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 39, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",17,53,288,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2963,presidente
19304,,"{'UNE': 95, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 11, 'PHG': 11, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 57, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",11,56,289,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2963,presidente
19305,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 30, 'PHG': 10, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 41, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",9,39,275,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2963,presidente
19306,,"{'UNE': 78, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 35, 'PHG': 15, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 3, 'PPN': 38, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",11,49,286,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2963,presidente
19307,,"{'UNE': 82, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 39, 'PHG': 14, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 3, 'PPN': 58, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",17,34,296,4,Sumas Asentadas sin cuadrar,16.Alta Verapaz,8.Senahú,2964,presidente
19308,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 44, 'PHG': 21, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 3, 'PPN': 78, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",21,50,347,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2964,presidente
19309,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 17, 'PHG': 12, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 36, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 10}",9,52,265,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2964,presidente
19310,,"{'UNE': 77, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 13, 'PHG': 11, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 30, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",3,64,242,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2964,presidente
19311,,"{'UNE': 58, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 18, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 37, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",12,41,257,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19312,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 26, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 22, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 32, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",11,39,250,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19313,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 16, 'PHG': 16, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",4,46,220,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19314,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 15, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 36, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",7,42,221,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19315,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 13, 'PHG': 11, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 22, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",0,40,211,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19316,,"{'UNE': 60, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 13, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 40, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",3,26,201,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19317,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 2, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",2,14,100,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19318,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 13, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 18, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",1,15,107,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2965,presidente
19319,,"{'UNE': 84, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 14, 'PHG': 15, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 64, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",10,45,254,0,Algún campo sin dato,16.Alta Verapaz,8.Senahú,2966,presidente
