mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
19432,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 23, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 17}",7,53,259,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19433,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 27, 'SEMILLA': 43, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",4,60,285,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19434,,"{'UNE': 39, 'AZUL': 4, 'VALOR UNIONISTA': 31, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 9, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 17, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 21}",5,44,265,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19435,,"{'UNE': 28, 'AZUL': 5, 'VALOR UNIONISTA': 32, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 14, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 6, 'VIVA': 12, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 16}",5,61,283,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19436,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 7, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 13, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 31}",9,51,262,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19437,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 36, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 13, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",1,38,247,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19438,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 10, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 20, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 9, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 24}",4,55,250,150,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19439,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 21, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 17, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 18}",7,48,264,0,,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19440,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 11, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 17, 'SEMILLA': 61, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 25}",2,41,283,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
19441,,"{'UNE': 32, 'AZUL': 7, 'VALOR UNIONISTA': 28, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 17, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 18, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",5,51,277,0,Algún campo sin dato,16.Alta Verapaz,9.San Pedro Carchá,2985,presidente
