mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20339,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 15, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 11, 'VOS': 15}",2,45,271,0,Algún campo sin dato,17.Petén,1.Flores,3166,presidente
20340,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 19}",2,32,206,0,Algún campo sin dato,17.Petén,1.Flores,3166,presidente
20341,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 79, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 15}",1,28,200,0,Algún campo sin dato,17.Petén,1.Flores,3166,presidente
20342,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 10, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 7}",11,50,244,0,Algún campo sin dato,17.Petén,1.Flores,3167,presidente
20343,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 15, 'VOS': 8}",5,32,235,0,Algún campo sin dato,17.Petén,1.Flores,3167,presidente
20344,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 11, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 13, 'VOS': 11}",9,64,223,0,Algún campo sin dato,17.Petén,1.Flores,3168,presidente
20345,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 14, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 13, 'VOS': 14}",4,74,237,0,Algún campo sin dato,17.Petén,1.Flores,3168,presidente
20346,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 10, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 14, 'VOS': 13}",11,58,234,0,Algún campo sin dato,17.Petén,1.Flores,3168,presidente
20347,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 10, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 11, 'VOS': 13}",6,64,243,0,Algún campo sin dato,17.Petén,1.Flores,3168,presidente
20348,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 14, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 6, 'VOS': 11}",8,52,240,0,Algún campo sin dato,17.Petén,1.Flores,3168,presidente
