mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21002,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 68, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",15,50,243,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21003,,"{'UNE': 65, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 86, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",15,35,255,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21004,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 86, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",13,47,265,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21005,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 97, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",21,44,260,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21006,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 76, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",21,36,258,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21007,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 79, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 1}",10,37,243,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3268,presidente
21008,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 84, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",10,36,243,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3269,presidente
21009,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 79, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",8,42,248,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3269,presidente
21010,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 85, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",16,40,259,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3269,presidente
21011,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 87, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",12,43,252,0,Algún campo sin dato,17.Petén,11.Melchor De Mencos,3269,presidente
