mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21052,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 5}",15,62,245,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21053,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 6}",10,74,258,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21054,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 12}",16,75,247,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21055,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 4}",12,60,267,0,Sumas Asentadas sin cuadrar,17.Petén,12.Poptún,3279,presidente
21056,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 8, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 9}",14,68,258,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21057,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 11}",12,72,270,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21058,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 11}",13,79,278,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21059,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 8, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 8}",17,65,259,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21060,,"{'UNE': 54, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 3, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 16}",8,55,258,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21061,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 13}",1,53,232,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21062,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 10}",7,53,197,0,Sumas Asentadas sin cuadrar,17.Petén,12.Poptún,3279,presidente
21063,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 11, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 5}",7,54,222,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21064,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 11}",14,51,231,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21065,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 10}",10,70,224,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21066,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 8, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 4, 'VOS': 6}",7,51,253,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21067,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 5, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 15, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 14}",7,65,236,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21068,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 7}",12,56,252,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21069,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 8}",16,70,252,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21070,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 10}",8,63,234,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21071,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 7, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 7}",9,50,230,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21072,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",0,78,221,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21073,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 10}",13,42,190,0,Algún campo sin dato,17.Petén,12.Poptún,3279,presidente
21074,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 11}",7,38,217,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21075,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 7}",4,38,198,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21076,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",0,52,189,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21077,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 91, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",6,36,212,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21078,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 74, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 7}",5,53,234,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21079,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 71, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 10}",5,52,228,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21080,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 3}",9,43,188,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21081,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 3}",6,20,131,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21082,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",5,29,109,0,Algún campo sin dato,17.Petén,12.Poptún,3280,presidente
21083,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 11, 'VOS': 7}",15,82,249,0,,17.Petén,12.Poptún,3281,presidente
21084,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 6}",14,71,249,0,Algún campo sin dato,17.Petén,12.Poptún,3281,presidente
21085,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 7, 'VOS': 11}",19,67,273,0,Algún campo sin dato,17.Petén,12.Poptún,3281,presidente
21086,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 10, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 12, 'VOS': 6}",16,75,261,0,Algún campo sin dato,17.Petén,12.Poptún,3281,presidente
21087,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 11}",15,67,255,0,Algún campo sin dato,17.Petén,12.Poptún,3281,presidente
