mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21141,,"{'UNE': 62, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 9, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",30,90,265,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21142,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 4, 'TODOS': 15, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 0}",36,96,274,0,,17.Petén,13.Las Cruces,3289,presidente
21143,,"{'UNE': 62, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 2, 'TODOS': 21, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",28,106,286,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21144,,"{'UNE': 45, 'AZUL': 5, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 21, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",20,74,237,1,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21145,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 18, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 2}",34,78,243,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21146,,"{'UNE': 51, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 23, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",42,87,264,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21147,,"{'UNE': 75, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 15, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",39,71,255,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21148,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 8, 'TODOS': 20, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",41,61,239,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21149,,"{'UNE': 76, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 0, 'TODOS': 11, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",32,82,254,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21150,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 20, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 2}",29,65,229,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21151,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 10, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",12,79,217,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21152,,"{'UNE': 50, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 13, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 0}",12,85,248,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
21153,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 12, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",17,59,185,0,Algún campo sin dato,17.Petén,13.Las Cruces,3289,presidente
