mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21192,,"{'UNE': 40, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 29, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 5}",31,93,257,0,,17.Petén,14.El Chal,3297,presidente
21193,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 3}",20,89,239,0,Algún campo sin dato,17.Petén,14.El Chal,3297,presidente
21194,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 17, 'VOS': 2}",19,86,252,0,Algún campo sin dato,17.Petén,14.El Chal,3297,presidente
21195,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 15, 'VOS': 4}",22,81,225,0,Algún campo sin dato,17.Petén,14.El Chal,3297,presidente
21196,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 11, 'VOS': 3}",9,65,220,0,,17.Petén,14.El Chal,3298,presidente
21197,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 11, 'VOS': 3}",2,30,105,2,Algún campo sin dato,17.Petén,14.El Chal,3298,presidente
21198,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 1}",13,31,95,0,Sumas Asentadas sin cuadrar,17.Petén,14.El Chal,3298,presidente
21199,,"{'UNE': 44, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 1}",30,91,229,0,Algún campo sin dato,17.Petén,14.El Chal,3299,presidente
21200,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 0}",19,86,200,0,,17.Petén,14.El Chal,3299,presidente
21201,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 17, 'VOS': 0}",16,63,191,0,Algún campo sin dato,17.Petén,14.El Chal,3299,presidente
21202,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 2}",7,54,105,0,Algún campo sin dato,17.Petén,14.El Chal,3299,presidente
21203,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 1}",11,27,104,0,Algún campo sin dato,17.Petén,14.El Chal,3299,presidente
