mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20407,,"{'UNE': 108, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 3}",26,61,300,0,Algún campo sin dato,17.Petén,2.San José,3179,presidente
20408,,"{'UNE': 123, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 5}",16,62,322,0,Algún campo sin dato,17.Petén,2.San José,3179,presidente
20409,,"{'UNE': 109, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 7, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 3}",25,56,304,0,Algún campo sin dato,17.Petén,2.San José,3179,presidente
20410,,"{'UNE': 102, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 16, 'TODOS': 5, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",21,47,280,0,Algún campo sin dato,17.Petén,2.San José,3180,presidente
20411,,"{'UNE': 99, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 21, 'TODOS': 7, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 6, 'VOS': 6}",32,58,309,0,Algún campo sin dato,17.Petén,2.San José,3180,presidente
20412,,"{'UNE': 101, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 16, 'TODOS': 8, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 7}",17,57,287,0,Algún campo sin dato,17.Petén,2.San José,3180,presidente
20413,,"{'UNE': 83, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 6}",21,55,233,0,Algún campo sin dato,17.Petén,2.San José,3181,presidente
20414,,"{'UNE': 108, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",15,35,246,0,Algún campo sin dato,17.Petén,2.San José,3181,presidente
20415,,"{'UNE': 98, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",45,83,309,1,Sumas Asentadas sin cuadrar,17.Petén,2.San José,3182,presidente
20416,,"{'UNE': 121, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",32,82,305,0,,17.Petén,2.San José,3182,presidente
20417,,"{'UNE': 108, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",34,75,290,0,Sumas Asentadas sin cuadrar,17.Petén,2.San José,3182,presidente
20418,,"{'UNE': 91, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",50,68,302,6,Sumas Asentadas sin cuadrar,17.Petén,2.San José,3183,presidente
20419,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",20,48,202,0,Algún campo sin dato,17.Petén,2.San José,3183,presidente
