mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20421,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 12, 'VOS': 10}",8,71,258,1,,17.Petén,3.San Benito,3184,presidente
20422,,"{'UNE': 69, 'AZUL': 6, 'VALOR UNIONISTA': 6, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 13}",20,73,285,1,Algún campo sin dato,17.Petén,3.San Benito,3184,presidente
20423,,"{'UNE': 57, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 12}",9,81,272,0,Algún campo sin dato,17.Petén,3.San Benito,3184,presidente
20424,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 10}",10,60,239,0,Sumas Asentadas sin cuadrar,17.Petén,3.San Benito,3184,presidente
20425,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 9, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 9}",12,68,245,0,Algún campo sin dato,17.Petén,3.San Benito,3184,presidente
20426,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 12}",15,48,226,0,Algún campo sin dato,17.Petén,3.San Benito,3184,presidente
20427,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 85, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 5}",3,38,229,1,,17.Petén,3.San Benito,3184,presidente
20428,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 37, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 2}",17,38,171,0,Algún campo sin dato,17.Petén,3.San Benito,3184,presidente
20429,,"{'UNE': 66, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 5}",13,64,249,1,Algún campo sin dato,17.Petén,3.San Benito,3185,presidente
20430,,"{'UNE': 53, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 3}",26,90,270,0,Algún campo sin dato,17.Petén,3.San Benito,3185,presidente
