mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20508,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",19,0,181,73,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20509,,"{'UNE': 51, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 12}",35,62,261,0,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20510,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 9}",32,50,284,0,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20511,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 2}",29,60,277,0,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20512,,"{'UNE': 65, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 6}",29,48,290,0,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20513,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 25, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",19,42,214,15,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20514,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",23,59,260,0,Algún campo sin dato,17.Petén,4.San Andrés,3194,presidente
20515,,"{'UNE': 49, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 5}",23,53,251,0,,17.Petén,4.San Andrés,3194,presidente
20516,,"{'UNE': 50, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 9}",20,48,239,1,Sumas Asentadas sin cuadrar,17.Petén,4.San Andrés,3195,presidente
20517,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",23,61,233,0,Algún campo sin dato,17.Petén,4.San Andrés,3195,presidente
